catch_terms,recode_column,organization_name,domains,country,parent_org,org_type,added
nortonlifelock,nortonlifelock,NortonLifeLock,nortonlifelock.com,United States of America,NA,software industry,
nosa,nosa,NOSA,nosa.com,NA,NA,information technology,
nova development,nova development,Nova Development,novadevelopment.com,NA,NA,software industry,
novacyt,novacyt,Novacyt,novacyt.com,France|United Kingdom,NA,biotechnology,
novelda,novelda,Novelda,novelda.com,Norway,NA,information technology,
novell,novell,Novell,novell.com,NA,Micro Focus International,software industry,
noviy disk,noviy disk,Noviy Disk,nd.ru,Russia,NA,video game industry,
novotrade,novotrade,Novotrade,NA,Hungary,NA,software industry|video game industry|computer industry|publishing|electronics industry,
novozymes,novozymes,Novozymes,novozymes.com,Denmark,Novo Holdings,biotechnology,
novus biologicals,novus biologicals,Novus Biologicals,novusbio.com,United States of America,NA,biotechnology,
now software,now software,Now Software,NA,United States of America,NA,software industry,
nsite software,nsite software,Nsite Software,ondemand.com,United States of America,NA,software,
ntractive,ntractive,Ntractive,ntractive.com,NA,NA,software,
ntropy,ntropy,Ntropy,ntropy.network,United States of America,NA,software industry|technology industry,
ntt data,ntt data,NTT Data,nttdata.com,Japan,Nippon Telegraph and Telephone,IT service management|information technology consulting,
ntt data engineering systems corporation,ntt data engineering systems corporation,NTT Data Engineering Systems Corporation,nttd-es.co.jp,NA,NA,software,
ntt europe ltd,ntt europe ltd,NTT Europe Ltd,eu.ntt.com,NA,Nippon Telegraph and Telephone,information and communications technology,
nuance communications,nuance communications,Nuance Communications,nuance.com,United States of America,NA,software industry,
nuix,nuix,Nuix,nuix.com,NA,NA,software industry,
nullsoft,nullsoft,Nullsoft,nullsoft.com,United States of America,AOL,software,
numara software,numara software,Numara Software,numarasoftware.com,NA,NA,software,
numbrs personal finance ag,numbrs personal finance ag,Numbrs Personal Finance AG,NA,Switzerland,NA,financial technology,
nunchuck games,nunchuck games,Nunchuck Games,NA,United States of America,NA,video game industry,
nurkz,nurkz,NUR.KZ,kaz.nur.kz|musicnur.kz|nurtv.kz|rabotanur.kz|nur.kz,Kazakhstan,NA,information technology|news,
nutting associates,nutting associates,Nutting Associates,NA,NA,NA,video game industry,
nventa biopharmaceuticals corporation,nventa biopharmaceuticals corporation,Nventa Biopharmaceuticals Corporation,nventacorp.com,NA,NA,biotechnology,
nx studios,nx studios,NX Studios,nxstudios.tk,NA,NA,video game,
nyherji,nyherji,Nyherji,nyherji.is,Iceland,NA,information technology,
nyko,nyko,Nyko,nyko.com,United States of America,NA,video game industry,
o3sis,o3sis,O3SIS,o3sis.com,NA,NA,information technology,
oakpont professionals,oakpont professionals,Oakpont Professionals,oakpontprofessionals.com,Australia,Oakpont,information technology|recruitment|staffing and recruiting industry,
oberon media,oberon media,Oberon Media,corp.oberon-media.com,United States of America,NA,video game industry,
object designorporated,object designorporated,"Object Design, Incorporated",NA,United States of America,NA,software industry,
oblicore,oblicore,Oblicore,oblicore.com,NA,NA,software,
obsidian entertainment,obsidian entertainment,Obsidian Entertainment,obsidian.net,United States of America,Xbox Game Studios,video game industry,
octohost,octohost,Octohost,octohost.net,United States of America,NA,virtual private server|game server|multiplayer video game|internet industry,
odin computer graphics,odin computer graphics,Odin Computer Graphics,NA,United Kingdom,NA,video game industry,
odyssey software,odyssey software,Odyssey Software,NA,NA,NA,video game industry,
oefun,oefun,OeFun,oefun.com,United States of America,NA,video game industry,
oersted,oersted,OeRSTED Inc.,NA,Japan,NA,video game industry,
office create,office create,Office Create,ofcr.co.jp,Japan,NA,video game industry,
ogplanet,ogplanet,OGPlanet,ogplanet.com,NA,NA,video game industry,
okta,okta,Okta,okta.com,NA,NA,software industry,
ola cabs,ola cabs,Ola Cabs,olacabs.com,India,NA,transport|information technology|aggregator|taxi service,
olive tree bible software,olive tree bible software,Olive Tree Bible Software,olivetree.com,NA,NA,software,
olivetti,olivetti,Olivetti,olivetti.com,Italy,TIM Group,information technology,
omiya soft co ltd,omiya soft co ltd,"Omiya Soft, Co. Ltd.",omiyasoft.com,Japan,NA,video game industry,
omnibus japan,omnibus japan,Omnibus Japan,omnibusjp.com,Japan,NA,video game industry,
omnibus promotion,omnibus promotion,Omnibus Promotion,om-p.co.jp,Japan,NA,video game industry,
omninet,omninet,Omninet,omninet.de,Germany,NA,software development,
omnovia technologies,omnovia technologies,omNovia Technologies,omnovia.com,United States of America,NA,software,
on2 technologies,on2 technologies,On2 Technologies,on2.com,United States of America,Google,software,
onavo,onavo,Onavo,onavo.com,NA,"Facebook, Inc.",software industry,
ondeck capital,ondeck capital,OnDeck Capital,ondeck.com,NA,NA,financial technology,
one software technologies ltd,one software technologies ltd,One Software Technologies Ltd.,NA,NA,NA,information technology,
onespan,onespan,OneSpan,onespan.com|onespancom,United States of America,NA,software industry,
oni telecom,oni telecom,Oni Telecom,oni.pt,NA,NA,information and communications technology,
onkio haus,onkio haus,Onkio Haus,onkio.co.jp,Japan,NA,recording studio|video game industry,
oomba,oomba,Oomba,NA,NA,NA,software,
opcode systems,opcode systems,Opcode Systems,NA,NA,NA,software development,
open invention network,open invention network,Open Invention Network,openinventionnetwork.com,United States of America,NA,software,
open it,open it,Open iT,NA,United States of America,NA,software,
open network entertainment,open network entertainment,Open Network Entertainment,opennetworkent.com,NA,NA,video game industry,
open sesame,open sesame,Open Sesame Inc.,NA,Japan,NA,video game industry,
open source software institute,open source software institute,Open Source Software Institute,NA,NA,NA,open-source software,
open systems ag,open systems ag,Open Systems AG,NA,NA,NA,information and communications technology,
open text corporation,open text corporation,Open Text Corporation,opentext.com,Canada,NA,software,
openclassrooms,openclassrooms,OpenClassrooms,openclassrooms.com,France,NA,educational technology,
opened,opened,OpenEd,opened.com,NA,NA,educational technology,
openeye scientific software,openeye scientific software,OpenEye Scientific Software,eyesopen.com,NA,NA,biotechnology,
openio,openio,OpenIO,openio.io,NA,NA,information technology|computer data storage,
openplug,openplug,OpenPlug,openplug.com,NA,NA,software,
opensesame,opensesame,OpenSesame Inc,opensesame.com,NA,NA,educational technology,
opera software,opera software,Opera Software,operasoftware.com,Norway,NA,software development,
opower,opower,Opower,opower.com,United States of America,NA,software industry,
optym,optym,Optym (United States),NA,United States of America,NA,software industry,
oracle,oracle,Oracle,oracle.com,United States of America,NA,software development|information technology consulting,
oracle financial services software,oracle financial services software,Oracle Financial Services Software,iflexsolutions.com,NA,Oracle,IT service management|information technology consulting,
orange business services,orange business services,Orange Business Services,orange-business.com,NA,Orange,information technology consulting,
orange business services india,orange business services india,Orange Business Services India,orange-business.com,NA,Orange Business Services,quaternary sector of the economy|information technology consulting|information and communications technology,
orell language lab,orell language lab,Orell Language Lab,orell.com,NA,NA,software,
orga systems,orga systems,Orga Systems,orga-systems.com,NA,NA,software,
organovo,organovo,Organovo,organovo.com,United States of America,NA,biotechnology,
original software,original software,Original Software,origsoft.com,NA,NA,software testing,
osisoft,osisoft,OSIsoft,osisoft.com,United States of America,NA,software industry,
otello corporation,otello corporation,Otello Corporation,otellocorp.com,Norway,NA,marketing|software industry|internet industry,
otrona,otrona,Otrona,NA,United States of America,NA,information technology,
otwo,otwo,Otwo,otwo.jp,Japan,NA,video game industry,
ouat entertainment,ouat entertainment,Ouat Entertainment,ouat-e.com,NA,NA,video game industry,
ounce labs,ounce labs,Ounce Labs,NA,NA,NA,software,
outerlight,outerlight,Outerlight,NA,United Kingdom,NA,video game industry,
outrage games,outrage games,Outrage Games,NA,United States of America,THQ,video game industry,
outsource media,outsource media,Outsource Media,NA,United Kingdom,NA,video game industry,
outstart,outstart,"OutStart, Inc.",outstart.com,NA,NA,software,
outsystems,outsystems,OutSystems,outsystems.com,NA,NA,enterprise software,
ovelin,ovelin,Ovelin,ovelin.com,NA,NA,video game industry,
overworks,overworks,Overworks,NA,Japan,Sega,video game industry,
owlchemy labs,owlchemy labs,Owlchemy Labs,owlchemylabs.com,United States of America,Alphabet Inc.,video game industry,
owlient,owlient,Owlient,owlient.eu,NA,Ubisoft,video game industry,
oxford nanopore technologies,oxford nanopore technologies,Oxford Nanopore Technologies,nanoporetech.com,United Kingdom,NA,biotechnology industry,
oxitec,oxitec,Oxitec,oxitec.com,United Kingdom,NA,biotechnology|pest control,
oxygen games,oxygen games,Oxygen Games,oxygengames.net,United Kingdom,NA,video game industry,
ozark softscape,ozark softscape,Ozark Softscape,ozarksoftscape.com,United States of America,NA,video game industry,
ozwe games,ozwe games,OZWE Games,ozwe.com,NA,NA,video game|virtual reality|game industry,
p2 energy solutions,p2 energy solutions,P2 Energy Solutions,p2energysolutions.com,NA,NA,software,
pace plc,pace plc,Pace plc,pace.com,NA,NA,information technology,
pacific biosciences,pacific biosciences,Pacific Biosciences,pacificbiosciences.com,United States of America,NA,biotechnology industry,
packet design,packet design,Packet Design,packetdesign.com,United States of America,NA,software,
packettrap,packettrap,PacketTrap,NA,NA,NA,software,
pageonce,pageonce,Pageonce,check.me,NA,NA,software,
pagerduty,pagerduty,PagerDuty,pagerduty.com,NA,NA,information technology,
palantir technologies,palantir technologies,Palantir Technologies,palantir.com,United States of America,NA,data analytics software industry,
palcom software,palcom software,Palcom Software,NA,NA,NA,video game industry,
palette,palette,Palette,palette.clearrave.co.jp,NA,NA,video game industry,
palm,palm,"Palm, Inc.",palm.com,United States of America,TCL Technology,software industry|electronics industry,
panafacom,panafacom,Panafacom,pfu.fujitsu.com,Japan,NA,information technology,
panasonic corporation,panasonic corporation,Panasonic Corporation,panasonic.com,Japan,NA,electronics|home appliance|semiconductor industry|video game industry,
panda electronics,panda electronics,Panda Electronics,panda.cn,People's Republic of China,NA,electronics|information technology,
panda entertainment,panda entertainment,Panda Entertainment,NA,NA,NA,video game industry,
panda security,panda security,Panda Security,pandasecurity.com,Spain,NA,information security|software industry,
pandadoc,pandadoc,PandaDoc,pandadoc.com,NA,NA,software as a service,
pandora box,pandora box,Pandora Box,NA,Japan,NA,video game industry,
pandora radio,pandora radio,Pandora Radio,pandora.com,United States of America,Sirius XM Radio,software industry,
pangea software,pangea software,Pangea Software,pangeasoft.net,United States of America,NA,video game industry,
panic,panic,Panic,panic.com,United States of America,NA,software industry|video game industry,
pano logic,pano logic,Pano Logic,panologic.com,United States of America,NA,software,
panopticon software,panopticon software,Panopticon Software,datawatch.com,NA,NA,software industry,
panorama9,panorama9,Panorama9,panorama9.com,NA,NA,information technology management,
paradox france,paradox france,Paradox France,ageod.com,France,NA,video game industry,
paradox interactive,paradox interactive,Paradox Interactive,paradoxplaza.com,Sweden,Investment AB Spiltan,video game industry,
paragon software group,paragon software group,Paragon Software Group,paragon-software.com,NA,NA,software industry,
